po_id,vendor,amount,currency,submitted_at
PO-001,Acme Corp,1500.00,USD,2026-08-14T09:05:00
PO-002,Globex Inc,2750.50,USD,2026-08-14T09:12:00
PO-003,Initech,899.99,USD,2026-08-14T09:18:00
PO-004,Umbrella LLC,4200.00,EUR,2026-08-14T09:25:00
PO-005,,1200.00,USD,2026-08-14T09:31:00
PO-006,Wayne Enterprises,-450.00,USD,2026-08-14T09:37:00
PO-007,Stark Industries,3200.75,USD,2026-08-14T09:44:00
PO-008,Oscorp,abc,USD,2026-08-14T09:50:00
PO-009,Wonka Industries,875.25,GBP,2026-08-14T09:56:00
PO-010,Hooli,6400.00,USD,not-a-date
PO-011,Tyrell Corp,2100.00,USD,2026-08-14T10:04:00
PO-012,Cyberdyne Systems,0,USD,2026-08-14T10:11:00
PO-013,Vehement Capital,1850.40,USD,2026-08-14T10:18:00
PO-014,Massive Dynamic,320.10,USD,2026-08-14T10:24:00
PO-015,Aperture Labs,5000.00,USD,2026-13-14T10:30:00
PO-016,Soylent Corp,760.00,USD,2026-08-14T10:37:00
PO-017,Oceanic Airlines,1299.95,USD,2026-08-14T10:43:00
PO-018,Wonka Industries,-1.00,GBP,2026-08-14T10:49:00
PO-019,Gringotts Bank,950.00,USD,2026-08-14T10:55:00
PO-020,Prestige Worldwide,1100.00,,2026-08-14T11:02:00
PO-021,Acme Corp,2300.00,USD,2026-08-14T11:08:00
PO-022,Globex Inc,1500.25,USD,2026-08-14T11:15:00
PO-023,Initech,one thousand,USD,2026-08-14T11:21:00
PO-024,Umbrella LLC,4300.00,EUR,2026-08-14T11:28:00
PO-025,Wayne Enterprises,900.00,USD,
PO-026,Stark Industries,3750.00,USD,2026-08-14T11:40:00
PO-027,Oscorp,650.00,USD,2026-08-14T11:46:00
PO-028,Hooli,2500.00,USD,2026-08-14 11:52:00
PO-029,Tyrell Corp,1800.00,USD,2026-08-14T11:58:00
PO-030,Cyberdyne Systems,-999.99,USD,2026-08-14T12:05:00
PO-031,Vehement Capital,875.00,USD,2026-08-14T12:11:00
PO-032,Massive Dynamic,1400.00,USD,2026-08-14T12:17:00
PO-033,Aperture Labs,3000.00,USD,2026-08-14T12:23:00
PO-034,Soylent Corp,450.75,USD,2026-08-14T12:29:00
PO-035,Oceanic Airlines,2000.00,USD,2026-08-14T12:35:00
PO-036,Gringotts Bank,1750.00,USD,2026-02-30T12:41:00
PO-037,Prestige Worldwide,999.99,USD,2026-08-14T12:47:00
PO-038,Acme Corp,500.00,USD,2026-08-14T12:53:00
PO-039,Globex Inc,7200.00,USD,2026-08-14T13:00:00
PO-040,Initech,250.00,USD,2026-08-14T13:06:00
PO-041,Umbrella LLC,1250.00,EUR,2026-08-14T13:12:00
PO-042,,600.00,USD,2026-08-14T13:18:00
PO-043,Wayne Enterprises,3000.00,USD,2026-08-14T13:24:00
PO-044,Stark Industries,4500.00,USD,2026-08-14T13:30:00
PO-045,Oscorp,750.00,US DOLLAR,2026-08-14T13:36:00
PO-046,Hooli,0.01,USD,2026-08-14T13:42:00
PO-047,Tyrell Corp,3200.00,USD,2026-08-14T13:48:00
PO-048,Cyberdyne Systems,999999999999999999999999.99,USD,2026-08-14T13:54:00
PO-049,Vehement Capital,1250.00,USD,14/08/2026 14:00
PO-050,Massive Dynamic,850.00,USD,2026-08-14T14:06:00
